ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
Leighton,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,,
null,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,2-12,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-5,0-1,0-0,1-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-0,1-0,0-0,0-0,1-6,0-0,0-0,0-0,0-0,0-0,1-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,2-1,0-2,0-0,0-0,0-0,5-6,0-0,0-0,0-0,0-0,0-0,4-3,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"blargh257, Asashi, MegaXmas, MegaXmas, Asashi, Jace",
Smashdaddy,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-3,1-2,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,4-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-4,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,N/A,0-0,1-0,0-0,0-0,1-0,1-0,0-2,0-0,0-0,0-0,1-0,0-0,0-0,0-2,1-0,0-0,4-3,0-0,1-1,0-4,0-0,0-0,1-1,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-1,1-1,0-0,1-1,0-0,1-0,4-2,0-0,2-1,0-2,2-0,3-1,0-0,0-1,0-0,0-0,1-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,1-6,1-0,1-0,"SuperCuak, Zamorita, haunter, cliché, KoopaTroopa895, Golden, aCID, Dova, LAG, SuperCuak, Lengüitas, LAG, Kürv, Kürv, ESPONJA, mintea, Stone",
Sora/Joshman,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,7-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"McCloud, Davox22",
Wevans,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Jamrun, Epoodle, Nojump, Haq, Becca, Chipotle+, Nojump",
Akir,0-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-5,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,1-5,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,2-5,1-1,0-0,1-0,0-0,0-0,1-0,0-1,0-0,2-3,0-0,0-1,0-2,0-0,0-0,0-0,0-0,6-3,0-0,0-0,2-5,0-0,0-1,0-10,0-0,1-0,1-0,1-1,0-0,2-2,0-1,0-2,0-0,0-1,1-2,1-0,0-0,0-0,2-0,3-1,0-0,1-0,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,3-1,0-0,0-1,0-0,2-2,0-0,0-0,6-0,0-0,"Siddward, Kami Buckets, Inky, Rongunshu, Jamrun, Seven, mvlvchi, MOF, Nanami (aka PurpleZ), Nanami (aka PurpleZ), Mad Tyro, Mad Tyro, E-tie, Vianny, TPN, eve, Logos, Siddward, Siddward, Egg$, LuigigoShard, Reesch, Wes, Lunar Dusk, Paladin, Jada, Epoodle, Sicca, Stiv, Stiv, Jammy, Mushu, Slypig, Siddward, .Dempt, gdawg, Kami Buckets, Ben Snape, Sirmeris, CocoBunniez, LGBTQ+, LGBTQ+, Equilateral, Equilateral, Peachy Keen, Equilateral, Googlyeyed, Joey Donuts, Seven, 119Mista, Snap, 119Mista, Ceja, DaShizWiz, Vinson, Prometheus, Dybloons",
Aklo,2-9,0-0,0-0,3-1,0-3,1-1,0-1,0-1,1-0,0-0,0-0,0-0,1-4,0-1,2-3,0-1,1-0,0-3,0-0,1-0,3-5,0-0,0-0,3-1,0-0,0-0,1-0,0-0,0-0,0-0,4-1,3-2,1-0,0-0,3-0,0-1,0-0,4-1,2-0,2-0,0-1,0-0,3-0,0-1,1-0,0-0,1-0,2-1,0-0,0-0,0-1,1-1,0-0,0-0,0-0,0-0,0-0,16-6,0-0,0-0,0-0,0-0,0-0,1-0,3-0,4-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,3-1,4-4,3-0,2-0,4-0,0-0,0-0,1-0,0-0,1-0,2-0,2-0,1-0,1-0,0-0,1-0,0-0,0-0,1-1,0-0,11-4,1-1,1-0,7-0,0-0,4-0,0-0,3-0,0-1,0-0,0-0,0-0,0-0,3-4,1-0,0-0,0-0,3-0,1-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,3-1,0-0,1-0,2-0,0-0,0-0,0-0,4-0,2-2,0-0,1-0,2-0,0-0,2-0,3-1,3-1,2-0,0-0,0-0,4-3,"Blea Gelo, grownworkingman, Jamrun, Younger, DontRestMe, Lunar Dusk, Kürv, Nathan, Sicca",
Android 0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-3,2-6,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-1,0-0,1-0,1-3,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,4-2,0-0,0-0,0-0,1-1,0-0,3-8,0-0,0-0,0-0,0-0,0-0,0-1,6-2,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,6-5,0-1,0-0,1-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,7-3,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,1-0,1-0,1-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Venelox, MegaXmas, Asashi, salami, Kürv, Lengüitas, cliché, haunter, Kürv, Jace, MegaXmas, MegaXmas, Venelox, salami, rom, Santiago, Santiago, Owl, Kürv",
Bbatts,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,0-0,0-2,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-0,0-1,0-3,1-1,1-2,0-2,0-1,0-0,0-0,0-0,0-0,5-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,2-1,1-2,0-5,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,5-2,1-3,0-0,N/A,2-2,1-0,2-2,0-1,0-0,2-0,2-1,0-0,8-2,1-0,0-1,3-0,5-1,0-0,1-0,0-0,5-2,0-3,0-0,5-6,0-0,1-2,0-10,2-0,0-0,0-0,5-0,2-0,0-1,1-2,3-5,0-0,0-5,9-5,0-0,0-0,1-7,2-1,13-6,0-1,1-0,1-0,0-0,0-0,0-3,0-0,0-0,0-0,1-0,1-6,0-0,0-1,0-0,1-0,1-3,2-0,0-0,0-0,1-1,2-1,1-1,1-0,4-0,4-5,0-0,0-2,1-3,1-3,1-1,0-0,7-3,0-1,"Jamrun, Gooms, Preeminent, Joey Donuts, Golden, aCID, Jamrun, Jamrun, Jamrun, bambi, Erik, Prometheus, Justin Joe, Weeg, Dirty Lasagna, rabit!, Mike Quiggles, Harout, Chiefn_, Joe(y) Bats, Shamunt, Ahmad, Chiefn_, OtES, Mono, Tommy, Captain G, rabit!, Younger, Pelipper, PanterA, William, Krizski, Fro116, Lunar Dusk, Lunar Dusk, 0oh, Professor Pizza, mgmg, Goosekhan, Zanya, Goosekhan, Toffee, iLL BiLL, Epoodle, Kürv, Younger, MC David, MOM!, grownworkingman, SloX, SnooSnoo, Jamrun, sambob, Ambisinister, Kürv, Tommy, Error, Troy, Becca, I'm Michael BTW, Plank, E-tie, MOM!, Drio, Kitcatski, gdawg, allie, mgmg, MOM!, Muscoman, Tommy, HOBORG, JJM, JJM, JJM, Siddward, Sandbag, Sandbag, maxi, Kapachi, Becca, EduPorp, JJM, Son2, Majersk, Fable, Douglas.J.Gov, GodTouch, DevDogg, 119Mista, Switch, Brub, 404Cray, Tommy, Tommy, ULTO, Shoop, Bladeefan829, Lama, Gingerham, Siddward, Captain G, .Dempt",
Ben,9-6,0-0,0-0,0-3,1-0,1-0,0-0,0-1,0-1,0-0,0-3,0-0,0-1,0-0,1-7,0-1,0-1,0-3,0-0,1-2,3-8,0-0,0-0,1-1,0-0,0-0,1-0,1-0,2-1,0-0,1-0,2-10,2-1,1-0,0-0,1-2,0-0,4-2,2-5,3-0,0-0,0-0,1-6,0-2,0-0,0-0,3-0,2-3,1-0,0-0,1-0,2-10,0-0,1-0,0-0,0-0,0-0,8-13,0-0,0-0,0-1,0-0,1-1,4-0,1-4,4-3,1-0,0-0,0-0,1-0,0-0,0-0,2-0,0-1,0-0,1-1,4-4,0-0,2-2,N/A,7-0,7-2,0-0,0-0,0-0,1-0,0-1,5-1,0-1,3-2,3-0,0-0,0-0,1-0,0-0,2-0,5-0,0-0,13-4,0-0,0-0,3-4,0-0,0-1,3-0,2-1,1-1,4-1,1-0,2-0,0-0,4-7,0-0,1-0,0-0,4-1,3-1,4-0,0-0,2-0,0-1,0-0,0-0,10-3,0-0,1-0,2-0,0-0,1-1,0-0,2-0,0-2,1-0,3-2,0-3,0-0,0-0,0-2,2-0,1-0,0-0,1-1,3-0,0-0,2-0,1-0,0-1,0-0,0-3,2-0,1-2,"DannyPhantom, prof, Blea Gelo, Reeve, Dimension, FMB5k, Ambisinister, DontRestMe, CocoBunniez, Lunar Dusk, MOM!, Preeminent, Preeminent, Preeminent, Dimension, Dimension",
Blues Clues,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-4,0-0,0-0,0-0,0-0,0-1,0-0,1-4,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-1,0-0,0-0,0-1,0-5,0-0,0-0,0-0,0-0,0-0,2-8,0-0,0-0,0-0,1-0,1-1,0-2,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-1,0-7,N/A,1-0,0-0,0-0,0-0,0-0,0-4,1-1,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-1,0-0,1-2,0-0,0-0,0-0,0-0,0-1,3-2,2-3,0-1,0-0,0-1,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-1,0-1,0-1,1-1,1-2,0-0,0-0,4-6,0-0,0-0,0-3,0-0,0-2,0-0,1-1,1-2,1-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,2-2,1-0,0-2,6-2,0-0,0-0,1-0,0-1,0-0,1-1,0-0,"Excel Zero, Fro116, Kürv, SquidTheCat, Anjo, mikey, Kürv, Golden, KoopaTroopa895, Conman, Traplord, Peachy Keen, Sandy, SpacePigeon, Hulka, Solomon, Zhyrri, PhDeeznuts, PanterA, Kürv, Wassabi, Kürv, Logos, Mr. Butterfly, SpacePigeon, Chango, Pipe, Kürv, CeeLew, Nathan, jacket, jacket, Bimbo, CPU0, Cilan, Traplord, Cilan, Kürv, Jet, Kürv, AR0, Herrán, Marrgasm, GrizzlyBair, Kürv, Stark, Dova, Epoodle, Kürv, Tristan's Rule, Younger, ycz6, Melo, Vincessant, Arcadia, Not_DuduTsai, jacket, LeZagna, cliché, SK92, LuigigoShard, JCAM, JCAM, MrG, Egg$, Asashi, Dream, Krizski, Chango, Kürv, Dream, Erik, Kürv, haunter, haunter, Kevbot",
Bones,1-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,0-0,0-2,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-1,0-0,0-0,1-2,0-0,0-0,0-1,0-0,0-0,0-0,3-5,0-0,0-0,0-3,0-0,0-0,4-0,2-0,0-0,0-0,0-0,0-1,0-3,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,2-2,2-7,0-1,N/A,0-0,0-0,0-0,1-0,0-0,3-1,0-0,0-1,0-1,2-1,0-0,1-0,0-0,1-0,2-2,0-0,2-1,0-2,1-0,0-2,0-0,0-0,0-0,0-0,0-0,0-1,6-0,7-3,0-0,1-1,3-0,0-0,0-0,0-1,0-2,2-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-2,0-1,0-1,0-0,0-0,0-1,0-0,0-3,0-0,1-0,1-0,0-0,2-0,2-1,1-1,0-0,1-1,0-2,2-1,"Reeve, BZimm, Zuraco, mvlvchi, Seven, 901|Austin, Mad Tyro, Reesch, Pleasantries, Den, Blea Gelo, Prometheus, 404Cray, Captain G, sambob",
Captain Smuckers,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-4,0-0,1-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-1,0-2,0-0,0-0,0-3,0-0,6-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-1,1-2,3-1,0-1,0-0,0-0,"YAMI, Kikoho, Heartstrings, FLiiNcHy, FLiiNcHy, Heartstrings, Ad, Cannagar, Brad, Brad, DVNO, YokaiNels",
Casper,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-12,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,4-2,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-5,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,5-5,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-1,0-0,0-0,3-4,0-1,0-0,0-1,0-0,0-0,3-7,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,"Arcadia, ALP, Khalid, Kürv, Kürv, Asashi, Yu, MegaXmas, Uvas, BasedFox, KoopaTroopa895, Asashi, rom, rom, Theftz, Vish, Sicca, Jello, Asashi, MegaXmas, Jace, rom, salami, Owl, Asashi, MegaXmas, Xela, rom, Xela",
Chape,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Yeti, Kuya, Zab, Rocket, Rocket, MOM!, tiebex, Zera, Zera, Guasausky, Ishigami, Ishigami, Arty, Jo$ha, Rocket, SigMa, inchou, Mave, Mave, Mave, Guasausky, inchou, kodo, Mave, Papyrus, Rocket, Aisengobay, Laj, Zim, Limón, Papyrus, hp, Zim, Lopino, hp, kodo, Poket, Tewa, Ant10quia, Lopino, Raikin, Skyy, hp, MCC, Raikin, Rocket, Jo$ha, hp, BIRA, hp, caioicy, LI4R, DRGS, Aisengobay, Mave, hp, Jo$ha, Raikin, NDJ, Raikin, NDJ, inchou, hp, inchou, Leso, Raikin, hp, Raikin, Blackayboard, Drop, Raikin, Aisengobay, Mave, Mave, kodo, Blassy, hp, Mave, caioicy, Pipo, Mave, Mave",
Chem,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-3,1-0,0-0,0-0,0-1,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-5,0-0,0-0,0-0,0-0,0-1,3-4,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-2,0-1,0-0,0-1,0-0,0-0,0-0,N/A,0-0,9-4,0-1,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-1,0-0,0-1,0-1,0-0,1-0,1-0,0-2,1-0,2-0,1-2,0-0,0-1,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-1,1-0,0-1,0-0,0-0,2-1,"Woley, Blea Gelo, grownworkingman, BZimm, Reeve, Reeve, Golden, Chiefn_, Uncle B, Kikoho, Kikoho, FLiiNcHy, Younger, Nix, mvlvchi, Dimension, Dimension",
Dacky,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-3,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-2,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-1,0-1,1-5,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-4,1-0,0-0,0-0,0-0,1-2,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,4-0,0-0,0-0,1-0,0-0,0-0,N/A,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,3-0,0-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-1,0-0,0-1,"Jamrun, Kürv",
